,Date,Reported_New_Cases,Active_Cases,Hospitalizations,ICU,Deaths,Scenario
0,2021-03-13,53.93846539436936,717.0,31.214703308282875,5.013699685852629,450.91255216616486,Pessimistic
1,2021-03-14,54.45462613862128,742.0,31.958445998031657,5.125057540079808,451.16600685203997,Pessimistic
2,2021-03-15,53.68961908422273,761.0,32.65720716652046,5.239244933730145,451.4251050181377,Pessimistic
3,2021-03-16,53.34824978726306,794.0,33.311515269518,5.3551572667266125,451.689960021982,Pessimistic
4,2021-03-17,53.26242934944332,787.0,33.92323088192643,5.471818479056603,451.9606331498772,Pessimistic
5,2021-03-18,53.33073012962677,786.0,34.495012249488084,5.588388297021705,452.23714027158076,Pessimistic
6,2021-03-19,53.49194278352934,752.0,35.029935758724804,5.704160364833284,452.519458613008,Pessimistic
7,2021-03-20,53.70912314400732,753.0,35.53123430446022,5.818554654020851,452.80753328047746,Pessimistic
8,2021-03-21,53.95996745271668,762.0,36.00212311211041,5.931106592394561,453.10128331493223,Pessimistic
9,2021-03-22,54.23100544765134,774.0,36.44568900980859,6.041454616824609,453.400607157385,Pessimistic
10,2021-03-23,54.51409678874643,781.0,36.864824774007,6.149327299620347,453.7053874774968,Pessimistic
11,2021-03-24,54.804317136113696,776.0,37.26219479673599,6.254530791978405,454.01549536398704,Pessimistic
12,2021-03-25,55.09868265665409,765.0,37.64022197500502,6.356937037098666,454.3307939050529,Pessimistic
13,2021-03-26,55.39538039884587,756.0,38.00108852862393,6.456473002156832,454.6511412042071,Pessimistic
14,2021-03-27,55.69330389294191,758.0,38.34674556380164,6.553111039712602,454.9763928857121,Pessimistic
15,2021-03-28,55.991772920069025,760.0,38.67892776191901,6.646860397620355,455.3064041468579,Pessimistic
0,2021-03-13,53.93846539436936,717.0,30.936453487488194,5.0054105556768125,450.911975456006,Expected
1,2021-03-14,53.58491088721962,742.0,31.552602698802712,5.111207603186503,451.16488475602546,Expected
2,2021-03-15,51.63934613871311,759.0,32.097899148175124,5.217740834447718,451.4231084000782,Expected
3,2021-03-16,50.35374361962113,789.0,32.5739273598874,5.323632205728641,451.68664804141656,Expected
4,2021-03-17,49.470939775215356,778.0,32.98402014001622,5.427682158150298,451.955440825482,Expected
5,2021-03-18,48.83404848310363,773.0,33.33254623131512,5.528878102089269,452.229368587778,Expected
6,2021-03-19,48.34735944568763,734.0,33.62439861445395,5.6263907987552715,452.50826715200185,Expected
7,2021-03-20,47.95248437136752,729.0,33.8646390468987,5.719563099907915,452.7919352403001,Expected
8,2021-03-21,47.613804776009715,732.0,34.058260449120084,5.8078943085721075,453.0801426996179,Expected
9,2021-03-22,47.30959412207039,737.0,34.21003586895196,5.8910224652563485,453.37263788631014,Expected
10,2021-03-23,47.02660157673449,736.0,34.32442953509662,5.968706127844252,453.6691541471433,Expected
11,2021-03-24,46.756747568524816,723.0,34.405551361813394,6.040806665035192,453.96941539881,Expected
12,2021-03-25,46.495107699519394,703.0,34.457141038776705,6.107271685874604,454.2731408485856,Expected
13,2021-03-26,46.23868267036596,685.0,34.48257159048619,6.168119947416155,454.58004892244844,Expected
14,2021-03-27,45.98564775592149,677.0,34.4848651597823,6.223427890021729,454.88986047895753,Expected
15,2021-03-28,45.734894864713624,669.0,34.46671592182459,6.273317821996814,455.2023013912389,Expected
0,2021-02-06,62.42857142857143,1329.0,63.0,16.0,418.0,Historical
1,2021-02-07,58.57142857142857,1239.0,63.0,16.0,418.0,Historical
2,2021-02-08,58.857142857142854,1205.0,63.0,16.0,418.0,Historical
3,2021-02-09,56.0,1158.0,57.0,15.0,423.0,Historical
4,2021-02-10,52.142857142857146,1153.0,52.0,14.0,424.0,Historical
5,2021-02-11,48.142857142857146,1108.0,49.0,14.0,425.0,Historical
6,2021-02-12,45.285714285714285,1063.0,45.0,16.0,425.0,Historical
7,2021-02-13,43.57142857142857,1029.0,43.0,15.0,426.0,Historical
8,2021-02-14,46.42857142857143,974.0,41.0,15.0,426.0,Historical
9,2021-02-15,48.857142857142854,927.0,39.0,14.0,426.0,Historical
10,2021-02-16,53.142857142857146,882.0,38.0,14.0,427.0,Historical
11,2021-02-17,56.142857142857146,842.0,39.0,12.0,428.0,Historical
12,2021-02-18,53.0,791.0,39.0,12.0,430.0,Historical
13,2021-02-19,52.142857142857146,742.0,42.0,11.0,430.0,Historical
14,2021-02-20,58.857142857142854,735.0,40.0,9.0,431.0,Historical
15,2021-02-21,57.714285714285715,754.0,38.0,8.0,431.0,Historical
16,2021-02-22,54.42857142857143,764.0,37.0,7.0,431.0,Historical
17,2021-02-23,52.714285714285715,758.0,34.0,6.0,435.0,Historical
18,2021-02-24,48.42857142857143,708.0,37.0,6.0,435.0,Historical
19,2021-02-25,50.57142857142857,682.0,34.0,5.0,437.0,Historical
20,2021-02-26,52.0,717.0,30.0,4.0,439.0,Historical
21,2021-02-27,49.285714285714285,729.0,26.0,3.0,439.0,Historical
22,2021-02-28,48.285714285714285,723.0,29.0,4.0,439.0,Historical
23,2021-03-01,50.57142857142857,741.0,32.0,6.0,439.0,Historical
24,2021-03-02,51.57142857142857,732.0,31.0,6.0,441.0,Historical
25,2021-03-03,55.57142857142857,725.0,26.0,7.0,441.0,Historical
26,2021-03-04,55.57142857142857,729.0,28.0,5.0,443.0,Historical
27,2021-03-05,57.285714285714285,757.0,27.0,5.0,444.0,Historical
28,2021-03-06,54.0,742.0,26.0,5.0,445.0,Historical
29,2021-03-07,53.714285714285715,735.0,25.0,5.0,445.0,Historical
30,2021-03-08,,730.0,24.0,5.0,445.0,Historical
31,2021-03-09,,728.0,23.0,5.0,448.0,Historical
32,2021-03-10,,743.0,27.0,5.0,448.0,Historical
33,2021-03-11,,765.0,27.0,4.0,449.0,Historical
34,2021-03-12,,723.0,31.0,5.0,450.0,Historical
35,2021-03-13,,717.0,31.0,5.0,451.0,Historical
