,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-03-07,49.16116743939108,738.0,27.295869055279574,5.002045054764875,445.7266668407135,Pessimistic
1,2021-03-08,49.17810925712024,735.0,27.28873893867659,5.034329671075976,446.02777491125374,Pessimistic
2,2021-03-09,49.19517480075035,737.0,27.290784642582224,5.063501532069522,446.3307242246635,Pessimistic
3,2021-03-10,49.211790484588846,736.0,27.299013975004247,5.089997862658607,446.63534164301484,Pessimistic
4,2021-03-11,49.22760820217832,740.0,27.311292291430426,5.114167112766428,446.9414774705366,Pessimistic
5,2021-03-12,49.24241669100138,745.0,27.326099485807905,5.136290951155458,447.24900082164646,Pessimistic
6,2021-03-13,49.25608776396382,688.0,27.342355715061775,5.156600326416252,447.55779612095165,Pessimistic
7,2021-03-14,49.268543691117884,677.0,27.359296416764902,5.175287245781506,447.86776043149155,Pessimistic
8,2021-03-15,49.27973741147457,697.0,27.376382678507497,5.192513458169323,448.17880139183717,Pessimistic
9,2021-03-16,49.28964052797323,711.0,27.39323696131302,5.208416894671264,448.4908356033015,Pessimistic
10,2021-03-17,49.298236024086464,740.0,27.409597007674567,5.223116480535879,448.80378735213344,Pessimistic
11,2021-03-18,49.305513844873076,729.0,27.42528279287917,5.236715760980775,449.1175875829809,Pessimistic
12,2021-03-19,49.311468215819104,724.0,27.440172832555827,5.249305659834259,449.43217306253933,Pessimistic
13,2021-03-20,49.31609601598325,686.0,27.454187202165098,5.260966601389785,449.7474856886426,Pessimistic
14,2021-03-21,49.31939579079767,686.0,27.46727537187425,5.271770162147832,450.0634719118564,Pessimistic
0,2021-03-07,48.28188283986344,737.0,26.99243344544275,4.9916240309512565,445.72564880610594,Expected
1,2021-03-08,47.12538250702835,732.0,26.872418974588186,5.018208080615121,446.02596879779964,Expected
2,2021-03-09,46.22670034553448,731.0,26.744210391028638,5.03995307989639,446.32773704625566,Expected
3,2021-03-10,45.48810568514614,726.0,26.606152387245892,5.057149340038864,446.6306722239314,Expected
4,2021-03-11,44.84961947434272,726.0,26.457604983026897,5.070038953989406,446.9345088522382,Expected
5,2021-03-12,44.27442639141191,726.0,26.298599660660535,5.0788358623151195,447.2389950540247,Expected
6,2021-03-13,43.73992424523567,664.0,26.129594537390314,5.083738588601734,447.5438912767622,Expected
7,2021-03-14,43.23223209388141,647.0,25.95130259134897,5.084937929857751,447.8489696188479,Expected
8,2021-03-15,42.742820477191344,661.0,25.764573142766636,5.082621246579045,448.15401350842205,Expected
9,2021-03-16,42.26644371220141,668.0,25.570311732785957,5.076974520493706,448.4588175677551,Expected
10,2021-03-17,41.799871112242045,690.0,25.36942738676601,5.068182998092538,448.7631875552923,Expected
11,2021-03-18,41.341108423747755,671.0,25.16279918414429,5.0564309841350745,449.066940318501,Expected
12,2021-03-19,40.88892006671881,658.0,24.951256265323938,5.041901167085658,449.36990371873986,Expected
13,2021-03-20,40.442535956466145,611.0,24.73556704831995,5.02477372908322,449.67191650818467,Expected
14,2021-03-21,40.00147159210405,603.0,24.5164346373492,5.005225402310471,449.9728281511132,Expected
0,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
1,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
2,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
3,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
4,2021-02-10,73.85714285714286,1158.0,58,16,423,Historical
5,2021-02-11,72.14285714285714,1153.0,49,14,424,Historical
6,2021-02-12,67.71428571428571,1108.0,40,13,425,Historical
7,2021-02-13,62.42857142857143,1063.0,40,13,425,Historical
8,2021-02-14,58.57142857142857,1029.0,40,13,426,Historical
9,2021-02-15,58.857142857142854,974.0,40,13,426,Historical
10,2021-02-16,56.0,927.0,38,14,426,Historical
11,2021-02-17,52.142857142857146,882.0,39,12,427,Historical
12,2021-02-18,48.142857142857146,842.0,39,12,428,Historical
13,2021-02-19,45.285714285714285,791.0,42,11,430,Historical
14,2021-02-20,43.57142857142857,742.0,42,11,430,Historical
15,2021-02-21,46.42857142857143,735.0,42,11,431,Historical
16,2021-02-22,48.857142857142854,754.0,54,24,431,Historical
17,2021-02-23,53.142857142857146,764.0,37,7,431,Historical
18,2021-02-24,56.142857142857146,758.0,37,6,435,Historical
19,2021-02-25,53.0,708.0,34,5,435,Historical
20,2021-02-26,52.142857142857146,682.0,30,3,437,Historical
21,2021-02-27,58.857142857142854,717.0,30,3,439,Historical
22,2021-02-28,57.714285714285715,729.0,30,3,439,Historical
23,2021-03-01,54.42857142857143,723.0,31,3,439,Historical
24,2021-03-02,52.714285714285715,741.0,31,6,439,Historical
25,2021-03-03,48.42857142857143,732.0,26,7,441,Historical
26,2021-03-04,50.57142857142857,725.0,28,5,441,Historical
27,2021-03-05,52.0,729.0,28,5,443,Historical
28,2021-03-06,49.285714285714285,757.0,27,5,444,Historical
29,2021-03-07,48.285714285714285,737.0,27,5,445,Historical
