,BPagano,UGA-CEID,Columbia-UNC,MIT-ORC,Ensemble,Columbia,DDS,LSHTM,Google-HSPH,JHU-CSSE,JHU-APL,Karlen,LANL,LNQ,Microsoft,MIT-LCP,MOBS,Oliver Wyman,SignatureScience,CovidComplete,UA,UCSD-NEU,UMass-MB,UM,USC,UT
2021-04-17,476.0,474.0,480.0,476.0,477.0,474.0,473.0,478.0,481.0,476.0,478.0,477.0,475.0,473.0,478.0,499.0,475.0,475.0,481.0,480.0,477.0,471.0,477.0,483.0,478.0,482.0
2021-04-18,477.0,474.57142857142856,481.42857142857144,476.57142857142856,477.85714285714283,474.0,473.2857142857143,479.14285714285717,482.7142857142857,476.85714285714283,479.14285714285717,478.0,475.7142857142857,473.42857142857144,479.14285714285717,501.85714285714283,475.7142857142857,475.57142857142856,482.85714285714283,481.57142857142856,478.85714285714283,471.0,478.0,484.7142857142857,479.14285714285717,483.42857142857144
2021-04-19,478.0,475.14285714285717,482.85714285714283,477.14285714285717,478.7142857142857,474.0,473.57142857142856,480.2857142857143,484.42857142857144,477.7142857142857,480.2857142857143,479.0,476.42857142857144,473.85714285714283,480.2857142857143,504.7142857142857,476.42857142857144,476.14285714285717,484.7142857142857,483.14285714285717,480.7142857142857,471.0,479.0,486.42857142857144,480.2857142857143,484.85714285714283
2021-04-20,479.0,475.7142857142857,484.2857142857143,477.7142857142857,479.57142857142856,474.0,473.85714285714283,481.42857142857144,486.14285714285717,478.57142857142856,481.42857142857144,480.0,477.14285714285717,474.2857142857143,481.42857142857144,507.57142857142856,477.14285714285717,476.7142857142857,486.57142857142856,484.7142857142857,482.57142857142856,471.0,480.0,488.14285714285717,481.42857142857144,486.2857142857143
2021-04-21,480.0,476.2857142857143,485.7142857142857,478.2857142857143,480.42857142857144,474.0,474.14285714285717,482.57142857142856,487.85714285714283,479.42857142857144,482.57142857142856,481.0,477.85714285714283,474.7142857142857,482.57142857142856,510.42857142857144,477.85714285714283,477.2857142857143,488.42857142857144,486.2857142857143,484.42857142857144,471.0,481.0,489.85714285714283,482.57142857142856,487.7142857142857
2021-04-22,481.0,476.85714285714283,487.14285714285717,478.85714285714283,481.2857142857143,474.0,474.42857142857144,483.7142857142857,489.57142857142856,480.2857142857143,483.7142857142857,482.0,478.57142857142856,475.14285714285717,483.7142857142857,513.2857142857143,478.57142857142856,477.85714285714283,490.2857142857143,487.85714285714283,486.2857142857143,471.0,482.0,491.57142857142856,483.7142857142857,489.14285714285717
2021-04-23,482.0,477.42857142857144,488.57142857142856,479.42857142857144,482.14285714285717,474.0,474.7142857142857,484.85714285714283,491.2857142857143,481.14285714285717,484.85714285714283,483.0,479.2857142857143,475.57142857142856,484.85714285714283,516.1428571428571,479.2857142857143,478.42857142857144,492.14285714285717,489.42857142857144,488.14285714285717,471.0,483.0,493.2857142857143,484.85714285714283,490.57142857142856
2021-04-24,483.0,478.0,490.0,480.0,483.0,474.0,475.0,486.0,493.0,482.0,486.0,484.0,480.0,476.0,486.0,519.0,480.0,479.0,494.0,491.0,490.0,471.0,484.0,495.0,486.0,492.0
2021-04-25,484.14285714285717,478.57142857142856,491.57142857142856,480.2857142857143,484.14285714285717,474.0,475.2857142857143,487.2857142857143,495.0,482.7142857142857,487.0,485.42857142857144,480.7142857142857,476.2857142857143,487.7142857142857,522.0,480.57142857142856,479.42857142857144,495.7142857142857,492.42857142857144,493.2857142857143,471.0,485.14285714285717,496.7142857142857,487.14285714285717,493.57142857142856
2021-04-26,485.2857142857143,479.14285714285717,493.14285714285717,480.57142857142856,485.2857142857143,474.0,475.57142857142856,488.57142857142856,497.0,483.42857142857144,488.0,486.85714285714283,481.42857142857144,476.57142857142856,489.42857142857144,525.0,481.14285714285717,479.85714285714283,497.42857142857144,493.85714285714283,496.57142857142856,471.0,486.2857142857143,498.42857142857144,488.2857142857143,495.14285714285717
